Code Cegid;Historique
ALM;
ALSACE;Travaille pour Wartsila Mulhouse car Soflog Mulhouse ne veut pas nous acheter en direct<BR>Ont eu de gros problèmes de paiement<BR>05/02/2013 : ont déposé le bilan en janvier 2013 en nous laissant une ardoise de 2 622,91 €
ALST;
AMIS;"<strong>25/05/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;relance M. Perrin : pas là cette semaine : rappeler S22<br />
<strong>19/05/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;relance M. Perrin : pas là rappeler&nbsp;S21<br />
<strong>11/05/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;relancé : pas là cette semaine : rappeler S20<br />
<strong>29/04/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;relancé M. Perrin sur les suites prévues : accompagnement technique + rencontre avec Mme Schmitt, qualité, méthodes, ...<br />
<strong>19/04/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;vu M. Perrin (Mme Schmitt absente)&nbsp;: présentation Acobal - proposition accompagnement technique - voir CRV<br />
<strong>31/03/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;M. Perrin d'accord pour me recevoir avec Mme Schmitt le 19/04 14h30<br />
<strong>15/03/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;relance M. Perrin pour date de visite : eu Mme Schmitt : Perrin pas là cette semaine : appeler le S12&nbsp;pour 19/04 ou 27/04<br />
<strong>10/03/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;relance M. Perrin pour date visite<br />
<strong>07/03/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;mail à M. Perrin pour lui proposer 2 dates de visite pour étude sur site : 18/03 ou 19/04<br />
<strong>01/03/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;tél M. Perrin pour avoir infos complémentaires et connaître le contexte : pas urgence : à rencontrer<br />
<strong>26/02/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;réception d'une consultation purement tarifaire de M. Perrin pour 11 postes, dont nous fournissons 4 refs&nbsp;&nbsp; potentiel : 40 k€/an<br />
CA 2011 : 4 198 €&nbsp;&nbsp;&nbsp;&nbsp; 2012 : 6 718 €&nbsp;&nbsp;&nbsp;&nbsp; 2013 : 1 856 €&nbsp;&nbsp;&nbsp;&nbsp; 2014 : 1 538 €&nbsp;&nbsp;&nbsp;&nbsp; 2015 : 2 832 €&nbsp;&nbsp;&nbsp; 2016 : 5 512 €<br />
&nbsp;"
AAL;
ANDRE;
SCADI;
ANT;
ANV;"<strong>12/01/2016&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;visite JGL / M. Barbier : activité auto délocalisée en Roumanie : reste préparation gommes, activité industrie et R&amp;D : revenir mi-2016 pour point indus&nbsp; voir CRV<BR><strong>08/01/2016&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;tél à M. Barbier pour confirmation du rdv : répondeur<BR><strong>07/01/2016&nbsp;JACQUES G&nbsp;:</STRONG> tél à M. Barbier pour savoir si rdv de mardi prochain toujours valide : répondeur<BR><strong>13/10/2015&nbsp;JACQUES G&nbsp;: </STRONG>visite&nbsp; JGL / M. Barbier pour point général : évoquer facture de 928.14 € échue le 31/08/15 : annulée le matin même<BR><strong>15/09/2015 JACQUES G :</STRONG> visite JGL / M. Barbier pour point général : annulée la veille<BR><strong>01/01/2013 JACQUES G :</STRONG> reprise par le groupe Japonais Tokaï - division Tokaï Rubber Industry (TRI)<BR><strong>05/07/2011 JACQUES G :</STRONG> visite de JGL / M. Skiera &amp; Co pour point sur les VCI&nbsp;<BR>CA 2011 : 50 557 €&nbsp;&nbsp;&nbsp;&nbsp; 2012 : 30 988 €&nbsp;&nbsp;&nbsp;&nbsp; 2013 : 18 804 €&nbsp;&nbsp;&nbsp;&nbsp; 2014 : 18 873 €&nbsp;&nbsp;&nbsp;&nbsp; 2015 : 8 711 €"
ANVI;"<strong>29/02/2016&nbsp;CECILE G&nbsp;:</STRONG>&nbsp;Mme VALLAR est remplacée par Carole PETIT à partir du 1er mars 2016.<BR><strong>11/02/2016&nbsp;JEAN-MICHEL B&nbsp;:</STRONG>&nbsp;Visite effectuée sur site avec MME VALLAR voir cr<BR><strong>02/02/2016&nbsp;CECILE G&nbsp;:</STRONG>&nbsp;envoi offre CG 16-098 à Mme Vallar<BR><strong>29/01/2016&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;consultation de Mme Vallar pour une housse pour carton Lxlxh = 1000x600x500mm : répondre avec housse catalogue et aller voir sur place<BR>"
