PONTICELLI SERVICE MATERIEL CENTRAL;30 Chemin des patureaux;49400;Saint-Lambert des levées;1;12;1442
SLD - RIVA GROUP;Zone portuaire;76490;SAINT WANDRILLE;1;12;1493
DIESELEC DUVELEY;ZI de Corsac;43700;BRIVES CHARENSAC;1;12;1660
COBALCO * BBA EMBALLAGES SITE STE MARGUERITE *LEOPACK;362, Chemin des Grandes HyèresZ.I. de Paituotes;88100;SAINTE MARGUERITE;1;12;1691
EMCO FRANCE SITE DE DUTTLENHEIM;7, rue Ampère;67120;DUTTLENHEIM;1;12;1789
RIPACK SUPPLIES;RIPACK SEFMAT7 Rue de Betnoms;33185;Le Haillan;1;12;1807
OREXAD SITE DE COMPIEGNE;;60;;1;12;1814
OREXAD SITE DE BOURGES * FIMATEC;34 rue Charles Durand;18000;BOURGES;1;12;1826
BLAISE EMBALLAGE;61, rue Principale;37250;VEIGNE;1;12;1857
MECANO SOUDURE DROMOISE;Z.I. des Gresses;26290;DONZERE;1;12;1877
FOREZIENNE MFLS;ZA Le Chanasson;42110;EPERCIEUX SAINT PAUL;1;12;1919
LEO FRANÇOIS;18, rue Marie-Louise Meyer2 Place Culine;59610;FOURMIES;1;12;1939
ALLIANCE INDUSTRIELLE METALLURGIQUE DE LA MAYENNE * AIMM;Parc d'Activités des MorandièresRue Jean-Baptiste Lamarck;53006;LAVAL;1;12;1945
TELMA S.A.;Z.A du Vert Galant28, rue Paul Painlevé;95310;Saint-Ouen l'Aumône;1;12;1947
COBALCO *BBA EMBALLAGES SITE STE MARGUERITE *LEOPACK;362, Chemin des Grandes HyèresZ.I. de Paituotes;88100;SAINTE MARGUERITE;1;12;1995
SCODER;ZA l'Orée du Bois1 rue de la Forêt;25480;PIREY;1;12;1996
FAIVELEY TRANSPORT LA VILLE AUX DAMES;Z.I. Bois de Plantesrue Amélia Earhart;37700;LA VILLE AUX DAMES;1;12;2005
ADETEM GROUPE;9 Rue Van GoghZA Belle Etoile;76290;Montivilliers;1;12;2009
BODYCOTE SITE CERNAY;10 rue de l'Industrie;68700;CERNAY;1;12;2011
